id_institucion_gs,id_autor_gs,autor,cargo,id_institucion,email,citaciones,intereses
17255630398072300451,XgL1DqoAAAAJ,Alicia Chávez,Universidad Católica del Norte,ucn,ce.ucn,8,Public finance Welfare Labor markets Inequality 
17255630398072300451,j6_BJJYAAAAJ,Fernando Carvajal Encina,"Profesor Asistente Facultad de Medicina, Universidad Católica del Norte",ucn,ucn.cl,7,Neonatología Medicina Basada en Evidencias 
17255630398072300451,-5Xs1jcAAAAJ,Luis Mateo,Universidad Católica del Norte,ucn,ucn.cl,5,Water Markets New Institutional Economics Resource Economics 
17255630398072300451,_flQSLoAAAAJ,Viviana Pérez Herrera,Universidad Católica del Norte,ucn,ucn.cl,4,Literatura latinoamericana 
17255630398072300451,0SIjePAAAAAJ,Ivan Jiron Araya,"Profesor Departamento de Matemáticas, Universidad Católica del Norte",ucn,ucn.cl,3,Cryptography DNA computing Neural Networks 
17255630398072300451,I0jG88cAAAAJ,Javier Enrique Cortes Cortes,"Profesor de Teología, Universidad Católica del Norte, Chile.",ucn,ucn.cl,3,Teología Exégesis y hermenéutica bíblica espiritualidad Bioética 
17255630398072300451,ivCEEVEAAAAJ,Jose Antonio Castillo Venenciano,"Profesor de Finanzas, Universidad Católica del Norte.",ucn,ucn.cl,2,Estudios Economicos y aspectos sociales recursos naturales y finanzas 
17255630398072300451,FeQ-h4AAAAAJ,Hernán Rojas SJ,"Universidad Católica del Norte, Antofagasta/Chile",ucn,ucn.cl,2,Theologie Karl Rahner Dogmatik Fundamentaltheologie Ignatius von Loyola 
17255630398072300451,AcjlaewAAAAJ,MAGDALENA RAMIREZ MERY,"Estudiante, Universidad Católica del Norte, Coquimbo",ucn,alumno,2,Biología marina 
17255630398072300451,5wP-6PoAAAAJ,Carlos Cortes,Universidad Catolica del Norte,ucn,ucn.cl,2,mecanica computacional 
17255630398072300451,Sm_HYmQAAAAJ,Leonidas Hernandez,Universidad Católica del Norte,ucn,ce.ucn,2,Entrepreneurship Human Capital Regional Diversification 
17255630398072300451,DXXvrvoAAAAJ,Pedro Reyes Norambuena,Universidad Católica del Norte,ucn,ucn.cl,1,
17255630398072300451,LWpq26EAAAAJ,Patricia Castillo Ladino,Universidad Católica del Norte,ucn,ucn.cl,1,Formación del Profesorado 
17255630398072300451,t1go7RsAAAAJ,Guillermo Guevara Bermudez,Universidad Católica del Norte,ucn,ucn.cl,1,Educación Matemática 
17255630398072300451,c5UNZHsAAAAJ,Henrry Morales,Universidad Católica del Norte,ucn,ce.ucn,1,Regional diversification regional studies mining regions 
17255630398072300451,PCcEOmgAAAAJ,Andrés Hurtado-Álvarez,Universidad Católica del Norte,ucn,ucn.cl,1,etnografía estudios urbanos estudios sociales de la ciencia y la tecnología futuros 
17255630398072300451,bsMgF2MAAAAJ,Karina Malla Buchhorsts,Universidad Católica del Norte,ucn,ucn.cl,,didáctica de la matemática educación matemática 
17255630398072300451,08d4rNkAAAAJ,Juan Alejandro Navarrete Cano,"Profesor de Teología, Universidad Católica del Norte - Chile",ucn,ucn.cl,,social psychology theology religion in latin america dialogue science and theology religion and gender 
17255630398072300451,f4PWVeAAAAAJ,Boris Briones Soto,Universidad Católica del Norte,ucn,ucn.cl,,Historia de las religiones etnohistoria 
17255630398072300451,AaMGFE4AAAAJ,David Rojas Contreras,Universidad Católica del Norte,ucn,ucn.cl,,Educación Inclusión educativa Evaluación para el aprendizaje 
17255630398072300451,wQCToKgAAAAJ,Patricia Castillo Ladino,Universidad Católica del Norte,ucn,ucn.cl,,Formación del Profesorado 
17255630398072300451,rpcvRvUAAAAJ,Gabriela Melendrez Alaro,"Estudiante MII, Universidad Catolica del Norte",ucn,alumno,,Ingenieria de software 
17255630398072300451,bBeVAzEAAAAJ,Pablo Andres Martinez Zuñiga,Universidad Católica del Norte,ucn,ucn.cl,,Derecho Procesal 
17255630398072300451,oTP3BXkAAAAJ,Luis Rojas Rubio,Universidad Catolica del Norte,ucn,alumno,,Data Science 
17255630398072300451,aYZjx-IAAAAJ,DAVID OSSMAR GALLEGOS MEZA,Universidad Católica del Norte,ucn,alumno,,Deportiva Ecológica Políticas Públicas  Deportivas Mega Eventos 
